"ligand_symbol","ligand_ENSG","receptor_symbol","receptor_ENSG"
"A2M","ENSG00000175899","LRP1","ENSG00000123384"
"ACE","ENSG00000159640","AGTR2","ENSG00000180772"
"ACE","ENSG00000159640","BDKRB2","ENSG00000168398"
"ADAM12","ENSG00000148848","ITGA9","ENSG00000291488"
"ADAM12","ENSG00000148848","ITGA9","ENSG00000144668"
"ADAM12","ENSG00000148848","ITGB1","ENSG00000150093"
"ADAM12","ENSG00000148848","SDC4","ENSG00000124145"
"ADAM28","ENSG00000042980","ITGA4","ENSG00000115232"
"ADAM9","ENSG00000168615","ITGA3","ENSG00000005884"
"ADAM9","ENSG00000168615","ITGA6","ENSG00000091409"
"ADAM9","ENSG00000168615","ITGAV","ENSG00000138448"
"ADAM9","ENSG00000168615","ITGB1","ENSG00000150093"
"ADAM9","ENSG00000168615","ITGB5","ENSG00000082781"
"ADCYAP1","ENSG00000141433","ADCYAP1R1","ENSG00000078549"
"ADCYAP1","ENSG00000141433","SCTR","ENSG00000080293"
"ADCYAP1","ENSG00000141433","VIPR1","ENSG00000114812"
"ADCYAP1","ENSG00000141433","VIPR2","ENSG00000106018"
"ADIPOQ","ENSG00000181092","ADIPOR1","ENSG00000159346"
"ADIPOQ","ENSG00000181092","ADIPOR2","ENSG00000285070"
"ADIPOQ","ENSG00000181092","ADIPOR2","ENSG00000006831"
"ADM2","ENSG00000128165","CALCR","ENSG00000004948"
"ADM2","ENSG00000128165","CALCRL","ENSG00000064989"
"ADM2","ENSG00000128165","RAMP1","ENSG00000132329"
"ADM","ENSG00000148926","CALCR","ENSG00000004948"
"ADM","ENSG00000148926","CALCRL","ENSG00000064989"
"ADM","ENSG00000148926","GPR182","ENSG00000166856"
"ADM","ENSG00000148926","MRGPRX2","ENSG00000183695"
"ADM","ENSG00000148926","RAMP2","ENSG00000131477"
"AGRN","ENSG00000188157","ATP1A3","ENSG00000105409"
"AGRN","ENSG00000188157","LRP4","ENSG00000134569"
"AGRN","ENSG00000188157","MUSK","ENSG00000030304"
"AGRP","ENSG00000159723","MC3R","ENSG00000124089"
"AGRP","ENSG00000159723","MC4R","ENSG00000166603"
"AGRP","ENSG00000159723","MC5R","ENSG00000176136"
"AGRP","ENSG00000159723","SDC3","ENSG00000162512"
"AGT","ENSG00000135744","AGTR1","ENSG00000144891"
"AGT","ENSG00000135744","AGTR2","ENSG00000180772"
"AGT","ENSG00000135744","LRP2","ENSG00000081479"
"AGT","ENSG00000135744","MAS1","ENSG00000130368"
"AHSG","ENSG00000145192","INSR","ENSG00000171105"
"ALB","ENSG00000163631","LRP2","ENSG00000081479"
"AMELX","ENSG00000125363","LAMP1","ENSG00000185896"
"AMELY","ENSG00000099721","LAMP1","ENSG00000185896"
"AMH","ENSG00000104899","ACVR1","ENSG00000115170"
"AMH","ENSG00000104899","AMHR2","ENSG00000135409"
"AMH","ENSG00000104899","EGFR","ENSG00000146648"
"ANGPT1","ENSG00000154188","ITGA5","ENSG00000161638"
"ANGPT1","ENSG00000154188","ITGB1","ENSG00000150093"
"ANGPT1","ENSG00000154188","TEK","ENSG00000120156"
"ANGPT1","ENSG00000154188","TIE1","ENSG00000066056"
"ANGPT2","ENSG00000091879","TEK","ENSG00000120156"
"ANGPT2","ENSG00000091879","TIE1","ENSG00000066056"
"ANGPT4","ENSG00000101280","TEK","ENSG00000120156"
"ANGPT4","ENSG00000101280","TIE1","ENSG00000066056"
"ANGPTL1","ENSG00000116194","TEK","ENSG00000120156"
"ANGPTL2","ENSG00000136859","TIE1","ENSG00000066056"
"ANGPTL3","ENSG00000132855","ITGA5","ENSG00000161638"
"ANGPTL3","ENSG00000132855","ITGAV","ENSG00000138448"
"ANGPTL3","ENSG00000132855","ITGB3","ENSG00000259207"
"ANGPTL4","ENSG00000167772","TIE1","ENSG00000066056"
"APLN","ENSG00000171388","APLNR","ENSG00000134817"
"APOB","ENSG00000084674","CALCR","ENSG00000004948"
"APOB","ENSG00000084674","ITGAM","ENSG00000169896"
"APOB","ENSG00000084674","ITGB2","ENSG00000160255"
"APOB","ENSG00000084674","LDLR","ENSG00000130164"
"APOB","ENSG00000084674","LRP2","ENSG00000081479"
"APOB","ENSG00000084674","LRP6","ENSG00000281324"
"APOB","ENSG00000084674","LRP6","ENSG00000070018"
"APOB","ENSG00000084674","LRP8","ENSG00000157193"
"APOB","ENSG00000084674","LSR","ENSG00000105699"
"APOB","ENSG00000084674","OLR1","ENSG00000173391"
"APOC3","ENSG00000110245","SDC2","ENSG00000169439"
"APOC3","ENSG00000110245","TLR2","ENSG00000137462"
"APOD","ENSG00000189058","LEPR","ENSG00000116678"
"APOE","ENSG00000130203","CHRNA4","ENSG00000101204"
"APOE","ENSG00000130203","LDLR","ENSG00000130164"
"APOE","ENSG00000130203","LRP1","ENSG00000123384"
"APOE","ENSG00000130203","LRP2","ENSG00000081479"
"APOE","ENSG00000130203","LRP5","ENSG00000162337"
"APOE","ENSG00000130203","LRP8","ENSG00000157193"
"APOE","ENSG00000130203","SCARB1","ENSG00000073060"
"APOE","ENSG00000130203","SORL1","ENSG00000137642"
"APOE","ENSG00000130203","VLDLR","ENSG00000147852"
"ARTN","ENSG00000117407","GFRA1","ENSG00000151892"
"ARTN","ENSG00000117407","GFRA3","ENSG00000146013"
"ARTN","ENSG00000117407","RET","ENSG00000165731"
"ASIP","ENSG00000101440","ATRN","ENSG00000088812"
"ASIP","ENSG00000101440","F11R","ENSG00000158769"
"ASIP","ENSG00000101440","MC1R","ENSG00000258839"
"ASIP","ENSG00000101440","MC2R","ENSG00000185231"
"ASIP","ENSG00000101440","MC3R","ENSG00000124089"
"ASIP","ENSG00000101440","MC4R","ENSG00000166603"
"ASIP","ENSG00000101440","MC5R","ENSG00000176136"
"ASIP","ENSG00000101440","MGRN1","ENSG00000102858"
"AVP","ENSG00000101200","AVPR1A","ENSG00000166148"
"AVP","ENSG00000101200","AVPR1B","ENSG00000198049"
"AVP","ENSG00000101200","AVPR2","ENSG00000126895"
"AVP","ENSG00000101200","OXTR","ENSG00000180914"
"AZGP1","ENSG00000160862","ITGAV","ENSG00000138448"
"B2M","ENSG00000166710","CD1A","ENSG00000158477"
"B2M","ENSG00000166710","CD1B","ENSG00000158485"
"B2M","ENSG00000166710","CD247","ENSG00000198821"
"B2M","ENSG00000166710","CD3D","ENSG00000167286"
"B2M","ENSG00000166710","CD3G","ENSG00000160654"
"B2M","ENSG00000166710","HFE","ENSG00000010704"
"B2M","ENSG00000166710","HLA-F","ENSG00000235220"
"B2M","ENSG00000166710","HLA-F","ENSG00000229698"
"B2M","ENSG00000166710","HLA-F","ENSG00000137403"
"B2M","ENSG00000166710","HLA-F","ENSG00000234487"
"B2M","ENSG00000166710","HLA-F","ENSG00000237508"
"B2M","ENSG00000166710","HLA-F","ENSG00000206509"
"B2M","ENSG00000166710","HLA-F","ENSG00000204642"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284145"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284347"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000283723"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284530"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000276625"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284100"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278495"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284514"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000273510"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000274782"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278805"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278755"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000277833"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284401"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000274692"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000276310"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000277356"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278248"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278821"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278207"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000275276"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000275750"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000277616"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000284551"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000275196"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000276820"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000275080"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000273794"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000275522"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278738"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000278503"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000274926"
"B2M","ENSG00000166710","KIR2DL1","ENSG00000125498"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000283702"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000283708"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284333"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284504"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000283996"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284044"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000278327"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000273887"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284132"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284241"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000273947"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000277484"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000283790"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000277317"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000274402"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284510"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000276218"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000275008"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000274108"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000276459"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000277554"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000275623"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000276590"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000284236"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000278369"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000275658"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000274830"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000274952"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000274410"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000277924"
"B2M","ENSG00000166710","KIR2DL3","ENSG00000243772"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000283731"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000283827"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000283954"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000284177"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000275717"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000275786"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000283729"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000284426"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000284093"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000278079"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000276379"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000276329"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000275288"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000276423"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000275486"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000273775"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000278368"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000278856"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000277175"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000274920"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000273518"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000277272"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000276501"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000284589"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000284342"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000275659"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000274948"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000274146"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000278427"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000274036"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000275545"
"B2M","ENSG00000166710","KIR3DL1","ENSG00000167633"
"B2M","ENSG00000166710","KLRC1","ENSG00000134545"
"B2M","ENSG00000166710","KLRD1","ENSG00000134539"
"B2M","ENSG00000166710","LILRB1","ENSG00000274669"
"B2M","ENSG00000166710","LILRB1","ENSG00000277134"
"B2M","ENSG00000166710","LILRB1","ENSG00000277807"
"B2M","ENSG00000166710","LILRB1","ENSG00000276452"
"B2M","ENSG00000166710","LILRB1","ENSG00000104972"
"B2M","ENSG00000166710","LILRB2","ENSG00000276146"
"B2M","ENSG00000166710","LILRB2","ENSG00000275463"
"B2M","ENSG00000166710","LILRB2","ENSG00000277751"
"B2M","ENSG00000166710","LILRB2","ENSG00000274513"
"B2M","ENSG00000166710","LILRB2","ENSG00000131042"
"B2M","ENSG00000166710","TFRC","ENSG00000072274"
"BCAN","ENSG00000132692","EGFR","ENSG00000146648"
"BCAN","ENSG00000132692","NRCAM","ENSG00000091129"
"BDNF","ENSG00000176697","DDR1","ENSG00000229767"
"BDNF","ENSG00000176697","DDR1","ENSG00000230456"
"BDNF","ENSG00000176697","DDR1","ENSG00000137332"
"BDNF","ENSG00000176697","DDR1","ENSG00000223680"
"BDNF","ENSG00000176697","DDR1","ENSG00000234078"
"BDNF","ENSG00000176697","DDR1","ENSG00000215522"
"BDNF","ENSG00000176697","DDR1","ENSG00000204580"
"BDNF","ENSG00000176697","DRD4","ENSG00000276825"
"BDNF","ENSG00000176697","DRD4","ENSG00000069696"
"BDNF","ENSG00000176697","NGFR","ENSG00000064300"
"BDNF","ENSG00000176697","NTRK2","ENSG00000148053"
"BDNF","ENSG00000176697","SORT1","ENSG00000134243"
"BGN","ENSG00000182492","LY96","ENSG00000154589"
"BGN","ENSG00000182492","TLR1","ENSG00000174125"
"BGN","ENSG00000182492","TLR2","ENSG00000137462"
"BGN","ENSG00000182492","TLR4","ENSG00000136869"
"BMP10","ENSG00000163217","ACVR1","ENSG00000115170"
"BMP10","ENSG00000163217","ACVR2A","ENSG00000121989"
"BMP10","ENSG00000163217","ACVR2B","ENSG00000114739"
"BMP10","ENSG00000163217","ACVRL1","ENSG00000139567"
"BMP10","ENSG00000163217","BMPR1A","ENSG00000107779"
"BMP10","ENSG00000163217","BMPR1B","ENSG00000138696"
"BMP10","ENSG00000163217","BMPR2","ENSG00000204217"
"BMP10","ENSG00000163217","ENG","ENSG00000106991"
"BMP15","ENSG00000130385","ACVR1","ENSG00000115170"
"BMP15","ENSG00000130385","ACVR2A","ENSG00000121989"
"BMP15","ENSG00000130385","ACVR2B","ENSG00000114739"
"BMP15","ENSG00000130385","BMPR1A","ENSG00000107779"
"BMP15","ENSG00000130385","BMPR1B","ENSG00000138696"
"BMP15","ENSG00000130385","BMPR2","ENSG00000204217"
"BMP2","ENSG00000125845","ACVR1","ENSG00000115170"
"BMP2","ENSG00000125845","ACVR2A","ENSG00000121989"
"BMP2","ENSG00000125845","ACVR2B","ENSG00000114739"
"BMP2","ENSG00000125845","BMPR1A","ENSG00000107779"
"BMP2","ENSG00000125845","BMPR1B","ENSG00000138696"
"BMP2","ENSG00000125845","BMPR2","ENSG00000204217"
"BMP2","ENSG00000125845","ENG","ENSG00000106991"
"BMP3","ENSG00000152785","ACVR1","ENSG00000115170"
"BMP3","ENSG00000152785","ACVR2A","ENSG00000121989"
"BMP3","ENSG00000152785","ACVR2B","ENSG00000114739"
"BMP3","ENSG00000152785","BMPR1A","ENSG00000107779"
"BMP3","ENSG00000152785","BMPR1B","ENSG00000138696"
"BMP3","ENSG00000152785","BMPR2","ENSG00000204217"
"BMP4","ENSG00000125378","ACVR1","ENSG00000115170"
"BMP4","ENSG00000125378","ACVR2A","ENSG00000121989"
"BMP4","ENSG00000125378","ACVR2B","ENSG00000114739"
"BMP4","ENSG00000125378","BMPR1A","ENSG00000107779"
"BMP4","ENSG00000125378","BMPR1B","ENSG00000138696"
"BMP4","ENSG00000125378","BMPR2","ENSG00000204217"
"BMP5","ENSG00000112175","ACVR1","ENSG00000115170"
"BMP5","ENSG00000112175","ACVR2A","ENSG00000121989"
"BMP5","ENSG00000112175","ACVR2B","ENSG00000114739"
"BMP5","ENSG00000112175","BMPR1A","ENSG00000107779"
"BMP5","ENSG00000112175","BMPR1B","ENSG00000138696"
"BMP5","ENSG00000112175","BMPR2","ENSG00000204217"
"BMP6","ENSG00000153162","ACVR1","ENSG00000115170"
"BMP6","ENSG00000153162","ACVR2A","ENSG00000121989"
"BMP6","ENSG00000153162","ACVR2B","ENSG00000114739"
"BMP6","ENSG00000153162","BMPR1A","ENSG00000107779"
"BMP6","ENSG00000153162","BMPR1B","ENSG00000138696"
"BMP6","ENSG00000153162","BMPR2","ENSG00000204217"
"BMP7","ENSG00000101144","ACVR1","ENSG00000115170"
"BMP7","ENSG00000101144","ACVR2A","ENSG00000121989"
"BMP7","ENSG00000101144","ACVR2B","ENSG00000114739"
"BMP7","ENSG00000101144","BMPR1A","ENSG00000107779"
"BMP7","ENSG00000101144","BMPR1B","ENSG00000138696"
"BMP7","ENSG00000101144","BMPR2","ENSG00000204217"
"BMP7","ENSG00000101144","ENG","ENSG00000106991"
"BMP8B","ENSG00000116985","ACVR1","ENSG00000115170"
"BMP8B","ENSG00000116985","ACVR2A","ENSG00000121989"
"BMP8B","ENSG00000116985","ACVR2B","ENSG00000114739"
"BMP8B","ENSG00000116985","BMPR1A","ENSG00000107779"
"BMP8B","ENSG00000116985","BMPR1B","ENSG00000138696"
"BMP8B","ENSG00000116985","BMPR2","ENSG00000204217"
"C1QA","ENSG00000173372","CD93","ENSG00000125810"
"C1QA","ENSG00000173372","CR1","ENSG00000203710"
"C1QA","ENSG00000173372","CSPG4","ENSG00000173546"
"C1QB","ENSG00000173369","LRP1","ENSG00000123384"
"C1QTNF1","ENSG00000173918","AVPR2","ENSG00000126895"
"C1QTNF5","ENSG00000223953","MFRP","ENSG00000235718"
"C3","ENSG00000125730","C3AR1","ENSG00000171860"
"C3","ENSG00000125730","C5AR2","ENSG00000134830"
"C3","ENSG00000125730","CD19","ENSG00000177455"
"C3","ENSG00000125730","CD46","ENSG00000117335"
"C3","ENSG00000125730","CD81","ENSG00000110651"
"C3","ENSG00000125730","CR1","ENSG00000203710"
"C3","ENSG00000125730","IFITM1","ENSG00000185885"
"C3","ENSG00000125730","ITGAM","ENSG00000169896"
"C3","ENSG00000125730","ITGAX","ENSG00000140678"
"C3","ENSG00000125730","ITGB2","ENSG00000160255"
"C3","ENSG00000125730","LRP1","ENSG00000123384"
"C4A","ENSG00000244731","C3AR1","ENSG00000171860"
"C4A","ENSG00000244731","C5AR2","ENSG00000134830"
"C4A","ENSG00000244731","CR1","ENSG00000203710"
"C4BPA","ENSG00000123838","BMPR2","ENSG00000204217"
"C4BPA","ENSG00000123838","CD40","ENSG00000101017"
"C4BPA","ENSG00000123838","LRP1","ENSG00000123384"
"C4B","ENSG00000224389","CD46","ENSG00000117335"
"C4B","ENSG00000224389","CR1","ENSG00000203710"
"C5","ENSG00000106804","C5AR1","ENSG00000197405"
"C5","ENSG00000106804","C5AR2","ENSG00000134830"
"C6orf15","ENSG00000204542","DDR1","ENSG00000229767"
"C6orf15","ENSG00000204542","DDR1","ENSG00000230456"
"C6orf15","ENSG00000204542","DDR1","ENSG00000137332"
"C6orf15","ENSG00000204542","DDR1","ENSG00000223680"
"C6orf15","ENSG00000204542","DDR1","ENSG00000234078"
"C6orf15","ENSG00000204542","DDR1","ENSG00000215522"
"C6orf15","ENSG00000204542","DDR1","ENSG00000204580"
"CALCA","ENSG00000110680","CALCR","ENSG00000004948"
"CALCA","ENSG00000110680","CALCRL","ENSG00000064989"
"CALCA","ENSG00000110680","RAMP1","ENSG00000132329"
"CALCA","ENSG00000110680","RAMP2","ENSG00000131477"
"CALCB","ENSG00000175868","CALCR","ENSG00000004948"
"CALCB","ENSG00000175868","CALCRL","ENSG00000064989"
"CALCB","ENSG00000175868","RAMP1","ENSG00000132329"
"CALR","ENSG00000179218","HLA-F","ENSG00000235220"
"CALR","ENSG00000179218","HLA-F","ENSG00000229698"
"CALR","ENSG00000179218","HLA-F","ENSG00000137403"
"CALR","ENSG00000179218","HLA-F","ENSG00000234487"
"CALR","ENSG00000179218","HLA-F","ENSG00000237508"
"CALR","ENSG00000179218","HLA-F","ENSG00000206509"
"CALR","ENSG00000179218","HLA-F","ENSG00000204642"
"CALR","ENSG00000179218","ITGA2B","ENSG00000005961"
"CALR","ENSG00000179218","ITGA3","ENSG00000005884"
"CALR","ENSG00000179218","ITGAV","ENSG00000138448"
"CALR","ENSG00000179218","LRP1","ENSG00000123384"
"CALR","ENSG00000179218","MTNR1A","ENSG00000168412"
"CALR","ENSG00000179218","SCARF1","ENSG00000276336"
"CALR","ENSG00000179218","SCARF1","ENSG00000074660"
"CALR","ENSG00000179218","TSHR","ENSG00000165409"
"CAMP","ENSG00000164047","EGFR","ENSG00000146648"
"CAMP","ENSG00000164047","FPR2","ENSG00000171049"
"CAMP","ENSG00000164047","IGF1R","ENSG00000140443"
"CAMP","ENSG00000164047","P2RX7","ENSG00000089041"
"CCK","ENSG00000187094","CCKAR","ENSG00000163394"
"CCK","ENSG00000187094","CCKBR","ENSG00000110148"
"CCL11","ENSG00000172156","ACKR2","ENSG00000144648"
"CCL11","ENSG00000172156","ACKR4","ENSG00000129048"
"CCL11","ENSG00000172156","CCR2","ENSG00000121807"
"CCL11","ENSG00000172156","CCR3","ENSG00000183625"
"CCL11","ENSG00000172156","CCR5","ENSG00000160791"
"CCL11","ENSG00000172156","CXCR3","ENSG00000186810"
"CCL13","ENSG00000181374","ACKR2","ENSG00000144648"
"CCL13","ENSG00000181374","ACKR4","ENSG00000129048"
"CCL13","ENSG00000181374","CCR1","ENSG00000163823"
"CCL13","ENSG00000181374","CCR2","ENSG00000121807"
"CCL13","ENSG00000181374","CCR3","ENSG00000183625"
"CCL13","ENSG00000181374","CCR5","ENSG00000160791"
"CCL13","ENSG00000181374","CCR9","ENSG00000173585"
"CCL13","ENSG00000181374","CXCR3","ENSG00000186810"
"CCL14","ENSG00000276409","ACKR2","ENSG00000144648"
"CCL14","ENSG00000276409","CCR1","ENSG00000163823"
"CCL14","ENSG00000276409","CCR3","ENSG00000183625"
"CCL14","ENSG00000276409","CCR5","ENSG00000160791"
"CCL15","ENSG00000275718","CCR1","ENSG00000163823"
"CCL15","ENSG00000275718","CCR3","ENSG00000183625"
"CCL16","ENSG00000275152","CCR1","ENSG00000163823"
"CCL16","ENSG00000275152","CCR2","ENSG00000121807"
"CCL16","ENSG00000275152","CCR5","ENSG00000160791"
"CCL16","ENSG00000275152","CCR8","ENSG00000179934"
"CCL16","ENSG00000275152","HRH4","ENSG00000134489"
"CCL17","ENSG00000102970","CCR4","ENSG00000183813"
"CCL17","ENSG00000102970","CCR8","ENSG00000179934"
"CCL19","ENSG00000172724","ACKR2","ENSG00000144648"
"CCL19","ENSG00000172724","ACKR4","ENSG00000129048"
"CCL19","ENSG00000172724","CCR10","ENSG00000184451"
"CCL19","ENSG00000172724","CCR7","ENSG00000126353"
"CCL19","ENSG00000172724","CCRL2","ENSG00000121797"
"CCL19","ENSG00000172724","CXCR3","ENSG00000186810"
"CCL1","ENSG00000108702","CCR8","ENSG00000179934"
"CCL20","ENSG00000115009","CCR6","ENSG00000112486"
"CCL20","ENSG00000115009","CXCR3","ENSG00000186810"
"CCL21","ENSG00000137077","ACKR2","ENSG00000144648"
"CCL21","ENSG00000137077","ACKR4","ENSG00000129048"
"CCL21","ENSG00000137077","CCR7","ENSG00000126353"
"CCL21","ENSG00000137077","CXCR3","ENSG00000186810"
"CCL22","ENSG00000102962","CCR4","ENSG00000183813"
"CCL23","ENSG00000274736","CCR1","ENSG00000163823"
"CCL24","ENSG00000106178","CCR2","ENSG00000121807"
"CCL24","ENSG00000106178","CCR3","ENSG00000183625"
"CCL25","ENSG00000131142","ACKR2","ENSG00000144648"
"CCL25","ENSG00000131142","ACKR4","ENSG00000129048"
"CCL25","ENSG00000131142","CCR10","ENSG00000184451"
"CCL25","ENSG00000131142","CCR9","ENSG00000173585"
"CCL26","ENSG00000006606","CCR1","ENSG00000163823"
"CCL26","ENSG00000006606","CCR2","ENSG00000121807"
"CCL26","ENSG00000006606","CCR3","ENSG00000183625"
"CCL27","ENSG00000213927","ACKR2","ENSG00000144648"
"CCL27","ENSG00000213927","CCR10","ENSG00000184451"
"CCL28","ENSG00000151882","ACKR2","ENSG00000144648"
"CCL28","ENSG00000151882","CCR10","ENSG00000184451"
"CCL28","ENSG00000151882","CCR3","ENSG00000183625"
"CCL2","ENSG00000108691","ACKR2","ENSG00000144648"
"CCL2","ENSG00000108691","ACKR4","ENSG00000129048"
"CCL2","ENSG00000108691","CCR1","ENSG00000163823"
"CCL2","ENSG00000108691","CCR10","ENSG00000184451"
"CCL2","ENSG00000108691","CCR2","ENSG00000121807"
"CCL2","ENSG00000108691","CCR3","ENSG00000183625"
"CCL2","ENSG00000108691","CCR4","ENSG00000183813"
"CCL2","ENSG00000108691","CCR5","ENSG00000160791"
"CCL3L3","ENSG00000276085","ACKR2","ENSG00000144648"
"CCL3L3","ENSG00000276085","CCR5","ENSG00000160791"
"CCL3","ENSG00000277632","ACKR2","ENSG00000144648"
"CCL3","ENSG00000277632","CCR1","ENSG00000163823"
"CCL3","ENSG00000277632","CCR3","ENSG00000183625"
"CCL3","ENSG00000277632","CCR4","ENSG00000183813"
"CCL3","ENSG00000277632","CCR5","ENSG00000160791"
"CCL4","ENSG00000275302","ACKR2","ENSG00000144648"
"CCL4","ENSG00000275302","CCR1","ENSG00000163823"
"CCL4","ENSG00000275302","CCR3","ENSG00000183625"
"CCL4","ENSG00000275302","CCR5","ENSG00000160791"
"CCL4","ENSG00000275302","CCR8","ENSG00000179934"
"CCL5","ENSG00000271503","ACKR2","ENSG00000144648"
"CCL5","ENSG00000271503","ACKR4","ENSG00000129048"
"CCL5","ENSG00000271503","CCR1","ENSG00000163823"
"CCL5","ENSG00000271503","CCR3","ENSG00000183625"
"CCL5","ENSG00000271503","CCR4","ENSG00000183813"
"CCL5","ENSG00000271503","CCR5","ENSG00000160791"
"CCL5","ENSG00000271503","CXCR3","ENSG00000186810"
"CCL5","ENSG00000271503","GPR75","ENSG00000119737"
"CCL5","ENSG00000271503","SDC1","ENSG00000115884"
"CCL5","ENSG00000271503","SDC4","ENSG00000124145"
"CCL7","ENSG00000108688","ACKR2","ENSG00000144648"
"CCL7","ENSG00000108688","ACKR4","ENSG00000129048"
"CCL7","ENSG00000108688","CCR1","ENSG00000163823"
"CCL7","ENSG00000108688","CCR10","ENSG00000184451"
"CCL7","ENSG00000108688","CCR2","ENSG00000121807"
"CCL7","ENSG00000108688","CCR3","ENSG00000183625"
"CCL7","ENSG00000108688","CCR5","ENSG00000160791"
