sample_id,resorce,diseases,status,tissue,omic_type
163,GSM1252811,HD,HD,Blood,bulk_rna
164,GSM1252814,HD,HD,Blood,bulk_rna
165,GSM1252820,HD,HD,Blood,bulk_rna
166,GSM1252822,HD,HD,Blood,bulk_rna
167,GSM1252825,HD,HD,Blood,bulk_rna
168,GSM1252826,HD,HD,Blood,bulk_rna
169,GSM1580870,HD,CT,BA9 prefrontal cortex,bulk_rna
170,GSM1580871,HD,CT,BA9 prefrontal cortex,bulk_rna
171,GSM1580872,HD,CT,BA9 prefrontal cortex,bulk_rna
172,GSM1580873,HD,CT,BA9 prefrontal cortex,bulk_rna
173,GSM1580874,HD,CT,BA9 prefrontal cortex,bulk_rna
174,GSM1580875,HD,CT,BA9 prefrontal cortex,bulk_rna
175,GSM1580876,HD,CT,BA9 prefrontal cortex,bulk_rna
176,GSM1580877,HD,CT,BA9 prefrontal cortex,bulk_rna
177,GSM1580878,HD,CT,BA9 prefrontal cortex,bulk_rna
178,GSM1580879,HD,CT,BA9 prefrontal cortex,bulk_rna
179,GSM1580880,HD,CT,BA9 prefrontal cortex,bulk_rna
180,GSM1580881,HD,CT,BA9 prefrontal cortex,bulk_rna
181,GSM1580882,HD,CT,BA9 prefrontal cortex,bulk_rna
182,GSM1580883,HD,CT,BA9 prefrontal cortex,bulk_rna
183,GSM1580884,HD,CT,BA9 prefrontal cortex,bulk_rna
184,GSM1580885,HD,CT,BA9 prefrontal cortex,bulk_rna
185,GSM1580886,HD,CT,BA9 prefrontal cortex,bulk_rna
186,GSM1580887,HD,CT,BA9 prefrontal cortex,bulk_rna
187,GSM1580888,HD,CT,BA9 prefrontal cortex,bulk_rna
188,GSM1580889,HD,CT,BA9 prefrontal cortex,bulk_rna
189,GSM1580890,HD,CT,BA9 prefrontal cortex,bulk_rna
190,GSM1580891,HD,CT,BA9 prefrontal cortex,bulk_rna
191,GSM1580892,HD,CT,BA9 prefrontal cortex,bulk_rna
192,GSM1580893,HD,CT,BA9 prefrontal cortex,bulk_rna
193,GSM1580894,HD,CT,BA9 prefrontal cortex,bulk_rna
194,GSM1580895,HD,CT,BA9 prefrontal cortex,bulk_rna
195,GSM1580896,HD,CT,BA9 prefrontal cortex,bulk_rna
196,GSM1580897,HD,CT,BA9 prefrontal cortex,bulk_rna
197,GSM1580898,HD,CT,BA9 prefrontal cortex,bulk_rna
198,GSM1580899,HD,CT,BA9 prefrontal cortex,bulk_rna
199,GSM1580900,HD,CT,BA9 prefrontal cortex,bulk_rna
200,GSM1580901,HD,CT,BA9 prefrontal cortex,bulk_rna
201,GSM1580902,HD,CT,BA9 prefrontal cortex,bulk_rna
202,GSM1580903,HD,CT,BA9 prefrontal cortex,bulk_rna
203,GSM1580904,HD,CT,BA9 prefrontal cortex,bulk_rna
204,GSM1580905,HD,CT,BA9 prefrontal cortex,bulk_rna
205,GSM1580906,HD,CT,BA9 prefrontal cortex,bulk_rna
206,GSM1580907,HD,CT,BA9 prefrontal cortex,bulk_rna
207,GSM1580908,HD,CT,BA9 prefrontal cortex,bulk_rna
208,GSM1580909,HD,CT,BA9 prefrontal cortex,bulk_rna
209,GSM1580910,HD,CT,BA9 prefrontal cortex,bulk_rna
210,GSM1580911,HD,CT,BA9 prefrontal cortex,bulk_rna
211,GSM1580912,HD,CT,BA9 prefrontal cortex,bulk_rna
212,GSM1580913,HD,CT,BA9 prefrontal cortex,bulk_rna
213,GSM1580914,HD,CT,BA9 prefrontal cortex,bulk_rna
214,GSM1580915,HD,CT,BA9 prefrontal cortex,bulk_rna
215,GSM1580916,HD,CT,BA9 prefrontal cortex,bulk_rna
216,GSM1580917,HD,CT,BA9 prefrontal cortex,bulk_rna
217,GSM1580918,HD,HD,BA9 prefrontal cortex,bulk_rna
218,GSM1580919,HD,HD,BA9 prefrontal cortex,bulk_rna
219,GSM1580920,HD,HD,BA9 prefrontal cortex,bulk_rna
220,GSM1580921,HD,HD,BA9 prefrontal cortex,bulk_rna
221,GSM1580922,HD,HD,BA9 prefrontal cortex,bulk_rna
222,GSM1580923,HD,HD,BA9 prefrontal cortex,bulk_rna
223,GSM1580924,HD,HD,BA9 prefrontal cortex,bulk_rna
224,GSM1580925,HD,HD,BA9 prefrontal cortex,bulk_rna
225,GSM1580926,HD,HD,BA9 prefrontal cortex,bulk_rna
226,GSM1580927,HD,HD,BA9 prefrontal cortex,bulk_rna
227,GSM1580928,HD,HD,BA9 prefrontal cortex,bulk_rna
228,GSM1580929,HD,HD,BA9 prefrontal cortex,bulk_rna
229,GSM1580930,HD,HD,BA9 prefrontal cortex,bulk_rna
230,GSM1580931,HD,HD,BA9 prefrontal cortex,bulk_rna
231,GSM1580932,HD,HD,BA9 prefrontal cortex,bulk_rna
232,GSM1580933,HD,HD,BA9 prefrontal cortex,bulk_rna
233,GSM1580934,HD,HD,BA9 prefrontal cortex,bulk_rna
234,GSM1580935,HD,HD,BA9 prefrontal cortex,bulk_rna
235,GSM1580936,HD,HD,BA9 prefrontal cortex,bulk_rna
236,GSM1580937,HD,HD,BA9 prefrontal cortex,bulk_rna
237,GSM1679648,PD,CT,BA9 prefrontal cortex,bulk_rna
238,GSM1679649,PD,CT,BA9 prefrontal cortex,bulk_rna
239,GSM1679650,PD,CT,BA9 prefrontal cortex,bulk_rna
240,GSM1679718,PD,PD,BA9 prefrontal cortex,bulk_rna
241,GSM1679719,PD,PD,BA9 prefrontal cortex,bulk_rna
242,GSM1679720,PD,PD,BA9 prefrontal cortex,bulk_rna
243,GSM6341646,PD,PD,Blood,bulk_rna
244,GSM6341647,PD,PD,Blood,bulk_rna
245,GSM6341650,PD,CT,Blood,bulk_rna
246,GSM6341651,PD,CT,Blood,bulk_rna
247,PPMI,PD,CT,Blood,proteomics
248,PPMI,PD,CT,Blood,proteomics
249,PPMI,PD,CT,Blood,proteomics
250,PPMI,PD,PD,Blood,proteomics
251,PPMI,PD,PD,Blood,proteomics
252,PPMI,PD,PD,Blood,proteomics
